data,altura_rio_guaiba_m
2024-04-08,0.83
2024-04-09,0.88
2024-04-10,1.03
2024-04-11,1.22
2024-04-12,1.07
2024-04-13,0.93
2024-04-14,0.86
2024-04-15,0.78
2024-04-16,0.82
2024-04-17,0.99
2024-04-18,1.04
2024-04-19,1.04
2024-04-20,1.04
2024-04-21,1.02
2024-04-22,1.06
2024-04-23,1.05
2024-04-24,1.31
2024-04-25,1.23
2024-04-26,1.05
2024-04-27,1.38
2024-04-28,1.41
2024-04-29,1.31
2024-04-30,1.61
2024-05-01,2.31
2024-05-02,3.69
2024-05-03,4.8
2024-05-04,5.27
2024-05-05,5.35
2024-05-06,5.3
