data,altura_prevista_m
2025-06-22,198.59818974527695
2025-06-23,200.1679470562262
2025-06-24,200.0951486515177
2025-06-25,199.84319712950344
2025-06-26,199.4048439636103
2025-06-27,199.55511058534188
2025-06-28,198.90915514967264
2025-06-29,198.32981584185453
2025-06-30,198.4618813016428
2025-07-01,197.79233069622316
2025-07-02,197.61918324276337
2025-07-03,198.42287069108633
2025-07-04,196.57956874061225
2025-07-05,194.2976754020435
