data,nivel_m
2025-06-22 00:00:00,268.11398835175896
2025-06-23 00:00:00,266.7372931171977
2025-06-24 00:00:00,265.07985336259554
2025-06-25 00:00:00,263.0889353944942
2025-06-26 00:00:00,260.6893611285949
2025-06-27 00:00:00,257.91296074731696
2025-06-28 00:00:00,254.7389891410837
2025-06-29 00:00:00,251.01160292997747
2025-06-30 00:00:00,246.64974499836813
2025-07-01 00:00:00,243.00392861582276
2025-07-02 00:00:00,239.43512188858568
2025-07-03 00:00:00,235.5691078532379
2025-07-04 00:00:00,232.21958587857097
2025-07-05 00:00:00,229.26049061699098
--- Início da Estimativa ---,---
2025-07-06 00:00:00,226.57112217372307
2025-07-07 00:00:00,223.80070007715207
2025-07-08 00:00:00,220.88336942414412
2025-07-09 00:00:00,217.87065598880795
2025-07-10 00:00:00,214.73020403633083
2025-07-11 00:00:00,211.39729978886928
2025-07-12 00:00:00,207.95853691153417
